participantId,group,lecture_type,practice_type,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,3,6,0.33333333333333337,-0.11383333333333337,0.7846666666666666,0.3635666666666667,0.3635666666666667,0.5079333333333333,0.19233333333333333,0.19233333333333333,0
66d88375799e00b593a8655f,PC,PlotWise,Control,3,6,0.6666666666666666,0.4013666666666667,-0.05206666666666666,-0.4731666666666667,0.4731666666666667,-0.097,-0.4126,0.4126,1
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,3,6,1,0.12696666666666664,0.49933333333333335,0.07823333333333335,0.12696666666666664,0.3995,0.0839,0.09283333333333332,0
69419e9576aea13f332266ff,PC,PlotWise,Control,3,6,1,0.3647,0.2824,-0.1387,0.3647,0.17303333333333334,-0.14256666666666665,0.3015,1
69442e09aea78e142db2e54f,PC,PlotWise,Control,3,6.333333333333333,0.33333333333333337,-0.1585333333333333,0.8027666666666666,0.3816666666666667,0.3816666666666667,0.7768,0.4612,0.4612,0
69457dc95341cec41fca5695,PC,PlotWise,Control,3,6,1,0.3531,0.3712,-0.04989999999999998,0.3531,0.3423333333333333,0.02673333333333333,0.29793333333333333,0
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,3,6.333333333333333,0.6666666666666666,0.38116666666666665,-0.1896666666666667,-0.6107666666666667,0.7415666666666667,-0.15576666666666664,-0.4713666666666666,0.5787,1
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,3,6.333333333333333,1,0.28493333333333337,0.26830000000000004,-0.15279999999999994,0.2898,0.21156666666666668,-0.10403333333333332,0.22043333333333334,0
69afafce3f7970642a6dc071,PC,PlotWise,Control,3,8,0.33333333333333337,-0.05886666666666668,0.5595,0.13840000000000002,0.13840000000000002,0.46396666666666664,0.14836666666666667,0.14836666666666667,0
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,3,6,1,0.4570666666666667,0.023766666666666686,-0.3973333333333333,0.4570666666666667,-0.0184,-0.33399999999999996,0.3402,1
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,3,7.333333333333333,1,0.16373333333333331,0.34856666666666664,-0.07253333333333332,0.16373333333333331,0.26516666666666666,-0.050433333333333316,0.11276666666666667,0
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,3,7,1,0.3133,0.27033333333333337,-0.1507666666666666,0.3133,0.21526666666666666,-0.10033333333333333,0.22853333333333334,0
69c13c0ad9ea03501703d527,PC,PlotWise,Control,3,6.333333333333333,0.6666666666666666,0.22303333333333333,0.18766666666666668,-0.2334333333333333,0.2334333333333333,0.15546666666666667,-0.16013333333333332,0.1782,0
