participantId,group,lecture_type,practice_type,trialId,responseId,responsePrompt,answer,answer_num,answer_scored,scale_type,question_label,reverse,duration,cleanedDuration
6985cae61f4f48abdf956530,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,6,6,6,FutureInterest,Interested in a dynamic visualization study,FALSE,14214,14214
6985cae61f4f48abdf956530,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,6,6,6,FutureInterest,Interested in a statistics study,FALSE,14214,14214
6985cae61f4f48abdf956530,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,6,6,6,MSI,Enjoyed learning about correlation and slope,FALSE,19629,19629
6985cae61f4f48abdf956530,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",6,6,6,MSI,Excited about correlation and slope,FALSE,19629,19629
6985cae61f4f48abdf956530,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,6,6,6,MSI,Correlation and slope are interesting,FALSE,19629,19629
6985cae61f4f48abdf956530,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,6,6,6,MSI,Statistics is interesting,FALSE,19629,19629
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,2,2,5,TSI,Video was boring,TRUE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,6,6,6,TSI,Enjoyed learning new things,FALSE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,6,6,6,TSI,Enjoyed this session,FALSE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,6,6,6,TSI,Fun to learn about statistics this way,FALSE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,6,6,6,TSI,Video was fun,FALSE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,1,1,6,TSI,Session was boring,TRUE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,6,6,6,TSI,Session was fun,FALSE,50621,50621
6985cae61f4f48abdf956530,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,6,6,6,TSI,Session was interesting,FALSE,50621,50621
698b661701f0981576ed9dec,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,6,6,6,FutureInterest,Interested in any study,FALSE,21042,21042
698b661701f0981576ed9dec,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,5,5,5,FutureInterest,Interested in a dynamic visualization study,FALSE,21042,21042
698b661701f0981576ed9dec,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,6,6,6,FutureInterest,Interested in a statistics study,FALSE,21042,21042
698b661701f0981576ed9dec,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,4,4,4,MSI,Enjoyed learning about correlation and slope,FALSE,19458,19458
698b661701f0981576ed9dec,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",5,5,5,MSI,Excited about correlation and slope,FALSE,19458,19458
698b661701f0981576ed9dec,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,4,4,4,MSI,Correlation and slope are interesting,FALSE,19458,19458
698b661701f0981576ed9dec,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,5,5,5,MSI,Statistics is interesting,FALSE,19458,19458
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,1,1,6,TSI,Video was boring,TRUE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,4,4,4,TSI,Enjoyed learning new things,FALSE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,3,3,3,TSI,Enjoyed this session,FALSE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,5,5,5,TSI,Fun to learn about statistics this way,FALSE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,4,4,4,TSI,Video was fun,FALSE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,1,1,6,TSI,Session was boring,TRUE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,3,3,3,TSI,Session was fun,FALSE,40244,40244
698b661701f0981576ed9dec,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,4,4,4,TSI,Session was interesting,FALSE,40244,40244
69991d70dd2583a349d03468,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,5,5,5,FutureInterest,Interested in any study,FALSE,28512,28512
69991d70dd2583a349d03468,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,2,2,2,FutureInterest,Interested in a dynamic visualization study,FALSE,28512,28512
69991d70dd2583a349d03468,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,1,1,1,FutureInterest,Interested in a statistics study,FALSE,28512,28512
69991d70dd2583a349d03468,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,1,1,1,MSI,Enjoyed learning about correlation and slope,FALSE,19127,19127
69991d70dd2583a349d03468,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,1,1,MSI,Excited about correlation and slope,FALSE,19127,19127
