participantId,group,lecture_type,practice_type,stat_type,n_items,n_valid,n_extreme,mean_abs_error,median_abs_error,mean_abs_error_all,median_abs_error_all,sign_error_rate
69e696140295abac7fb9c28b,CP,Control,PlotWise,correlation,8,8,0,0.22749999999999998,0.20000000000000004,0.22749999999999998,0.20000000000000004,0
69e696140295abac7fb9c28b,CP,Control,PlotWise,slope,7,7,0,0.2514285714285714,0.16999999999999998,0.2514285714285714,0.16999999999999998,0
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,correlation,8,8,0,0.25125000000000003,0.22000000000000003,0.25125000000000003,0.22000000000000003,0
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,slope,7,7,0,0.11285714285714289,0.040000000000000036,0.11285714285714289,0.040000000000000036,0
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,correlation,8,8,0,0.65,0.55,0.65,0.55,0.375
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,slope,7,7,0,0.41857142857142854,0.18999999999999997,0.41857142857142854,0.18999999999999997,0.2857142857142857
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,correlation,8,8,0,0.48375,0.4,0.48375,0.4,0.375
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,slope,7,7,0,0.5171428571428571,0.5,0.5171428571428571,0.5,0
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,correlation,8,8,0,0.35250000000000004,0.36500000000000005,0.35250000000000004,0.36500000000000005,0
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,slope,7,7,0,0.3185714285714286,0.26000000000000006,0.3185714285714286,0.26000000000000006,0
66d88375799e00b593a8655f,PC,PlotWise,Control,correlation,8,8,0,0.59,0.5,0.59,0.5,0.125
66d88375799e00b593a8655f,PC,PlotWise,Control,slope,7,7,0,2.9771428571428573,1.5,2.9771428571428573,1.5,0
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,correlation,8,8,0,0.1725,0.19999999999999996,0.1725,0.19999999999999996,0
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,slope,7,7,0,0.051428571428571435,0.030000000000000027,0.051428571428571435,0.030000000000000027,0
69419e9576aea13f332266ff,PC,PlotWise,Control,correlation,8,8,0,0.1725,0.18,0.1725,0.18,0
69419e9576aea13f332266ff,PC,PlotWise,Control,slope,7,7,0,0.021428571428571422,0.030000000000000027,0.021428571428571422,0.030000000000000027,0
69442e09aea78e142db2e54f,PC,PlotWise,Control,correlation,8,8,0,0.35874999999999996,0.13999999999999999,0.35874999999999996,0.13999999999999999,0.375
69442e09aea78e142db2e54f,PC,PlotWise,Control,slope,7,7,0,0.34714285714285714,0.21999999999999997,0.34714285714285714,0.21999999999999997,0.14285714285714288
69457dc95341cec41fca5695,PC,PlotWise,Control,correlation,8,8,0,0.51625,0.49,0.51625,0.49,0.5
69457dc95341cec41fca5695,PC,PlotWise,Control,slope,7,7,0,0.0957142857142857,0.05999999999999997,0.0957142857142857,0.05999999999999997,0
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,correlation,8,8,0,0.65625,0.58,0.65625,0.58,0.5
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,slope,7,7,0,0.02571428571428572,0.020000000000000018,0.02571428571428572,0.020000000000000018,0
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,correlation,8,8,0,0.13375,0.13,0.13375,0.13,0
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,slope,7,7,0,0.24857142857142858,0.16999999999999998,0.24857142857142858,0.16999999999999998,0
69afafce3f7970642a6dc071,PC,PlotWise,Control,correlation,8,8,0,0.5862499999999999,0.5,0.5862499999999999,0.5,0.5
69afafce3f7970642a6dc071,PC,PlotWise,Control,slope,7,7,0,0.11428571428571428,0.030000000000000027,0.11428571428571428,0.030000000000000027,0.14285714285714288
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,correlation,8,8,0,0.4025,0.36500000000000005,0.4025,0.36500000000000005,0.125
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,slope,7,7,0,0.039999999999999994,0.03999999999999998,0.039999999999999994,0.03999999999999998,0
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,correlation,8,8,0,0.1825,0.135,0.1825,0.135,0
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,slope,7,7,0,0.2671428571428571,0.22999999999999998,0.2671428571428571,0.22999999999999998,0
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,correlation,8,8,0,0.12625,0.13,0.12625,0.13,0
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,slope,7,7,0,0.08428571428571431,0.10000000000000009,0.08428571428571431,0.10000000000000009,0
