participantId,group,lecture_type,practice_type,status,percentComplete,correlation_n_items,slope_n_items,correlation_n_valid,slope_n_valid,correlation_n_extreme,slope_n_extreme,correlation_mean_abs_error,slope_mean_abs_error,correlation_median_abs_error,slope_median_abs_error,correlation_mean_abs_error_all,slope_mean_abs_error_all,correlation_median_abs_error_all,slope_median_abs_error_all,correlation_sign_error_rate,slope_sign_error_rate,choose_r_n_items,choose_r_score,choose_r_pct_correct,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r,FutureInterest,MSI,TSI
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.25,0.13714285714285715,0.20499999999999996,0.030000000000000027,0.25,0.13714285714285715,0.20499999999999996,0.030000000000000027,0,0,2,1,0.5,3,6,0.6666666666666666,0.13943333333333333,0.48419999999999996,0.06310000000000002,0.20236666666666667,0.39993333333333336,0.08433333333333334,0.2354,0,4.333333333333333,1,1.5
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.41624999999999995,0.08285714285714287,0.32999999999999996,0.06000000000000005,0.41624999999999995,0.08285714285714287,0.32999999999999996,0.06000000000000005,0.25,0,2,1,0.5,3,6.333333333333333,0.6666666666666666,-0.006233333333333346,0.48606666666666665,0.06496666666666669,0.07103333333333335,0.3632666666666667,0.04766666666666667,0.04766666666666667,0,6,3.75,5.25
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,completed,100,8,7,8,5,0,2,0.11999999999999998,0.098,0.105,0.12,0.11999999999999998,12.735714285714286,0.105,0.13999999999999999,0,0,2,1,0.5,3,6,0.6666666666666666,0.16173333333333334,0.24903333333333333,-0.17206666666666665,0.17206666666666665,0.16253333333333334,-0.15306666666666666,0.15306666666666666,1,6,6,6
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,completed,100,8,7,8,5,0,2,0.25749999999999995,0.8480000000000001,0.24999999999999997,0.21000000000000002,0.25749999999999995,16.148571428571426,0.24999999999999997,0.36,0,0,2,1,0.5,3,6,0.6666666666666666,0.10129999999999997,0.5160666666666667,0.09496666666666673,0.11410000000000001,0.37843333333333334,0.06283333333333332,0.09970000000000001,0,6,2.5,3.5
676276312d87ec9601be7d5c,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.2675,0.08,0.22999999999999998,0.03999999999999998,0.2675,0.08,0.22999999999999998,0.03999999999999998,0,0,2,1,0.5,3,6.333333333333333,0.6666666666666666,0.08073333333333335,0.29036666666666666,-0.1307333333333333,0.1307333333333333,0.23493333333333333,-0.08066666666666666,0.08433333333333334,0,6,3.25,5.5
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.17500000000000002,0.06714285714285714,0.13,0.03999999999999998,0.17500000000000002,0.06714285714285714,0.13,0.03999999999999998,0,0,2,1,0.5,3,6,1,0.3897,0.16373333333333337,-0.25736666666666663,0.3897,0.09926666666666667,-0.21633333333333335,0.3354666666666667,1,6,6,6
67eec9e200be02ad51843d9b,CP,Control,PlotWise,completed,100,8,7,8,1,0,6,0.54625,0.01,0.5,0.01,0.54625,36.97714285714286,0.5,27.53,0.125,0,2,1,0.5,3,6,0.33333333333333337,-0.0629666666666667,0.7049333333333333,0.2838333333333334,0.2838333333333334,0.6011,0.2855,0.2855,0,1,1,2.875
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.16375,0.0785714285714286,0.15499999999999997,0.09000000000000001,0.16375,0.0785714285714286,0.15499999999999997,0.09000000000000001,0,0,2,1,0.5,3,6,0.33333333333333337,0.06713333333333332,0.3304333333333333,-0.09066666666666665,0.11853333333333332,0.3224,0.006800000000000009,0.008599999999999997,0,3.6666666666666665,3,3.25
695bbdf21fd961458dd7390f,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.24125,0.6057142857142858,0.28,0.53,0.24125,0.6057142857142858,0.28,0.53,0,0,2,1,0.5,3,7,0.6666666666666666,0.03736666666666665,0.24193333333333333,-0.17916666666666664,0.17916666666666664,0.2171,-0.09849999999999999,0.09849999999999999,0,2,3.25,4.75
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.19375,0.019999999999999997,0.23500000000000004,0.020000000000000018,0.19375,0.019999999999999997,0.23500000000000004,0.020000000000000018,0,0,2,2,1,3,6,0.6666666666666666,0.11933333333333332,0.05043333333333334,-0.37066666666666664,0.37066666666666664,0.04013333333333333,-0.27546666666666664,0.27546666666666664,0,6,5.25,4.75
