participantId,group,lecture_type,practice_type,trialId,responseId,answer,answer_clean,correct_side,is_correct,abs_r_left,abs_r_right,duration,cleanedDuration,parameters_leftLabel,parameters_rightLabel
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7935,7935,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,7204,7204,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
695bbdf21fd961458dd7390f,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,23984,23984,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
695bbdf21fd961458dd7390f,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5307,5307,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,24227,24227,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,right,right,right,TRUE,0.1,0.32,5672,5672,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7916,7916,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,right,right,right,TRUE,0.1,0.32,4212,4212,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,4556,4556,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,6599,6599,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
